id,sailing,departure,check_1_index_page_reread,check_2_official_deep_link,check_3_price,check_4_scope,check_5_window,result
SD-01,Disney Wonder — Baja,2027-02-15,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesondisneywonder-15feb2027.html,PASS — official voyage deep link: https://disneycruise.disney.go.com/cruises-destinations/list/DW2236/4-Night-Baja-Cruise-from-San-Diego/2027-02-15-Disney-Wonder/,"CONFIRMED — $2,285pp unchanged (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $4,882"
SD-02,Disney Wonder — Baja,2027-02-19,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesondisneywonder-19feb2027.html,PASS — official voyage deep link: https://disneycruise.disney.go.com/cruises-destinations/list/DW2237/3-Night-Baja-Cruise-from-San-Diego/2027-02-19-Disney-Wonder/,"CHANGED — was $1,754pp, now $1,328pp (price_drop) (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $2,968"
SD-03,Disney Wonder — Baja,2027-02-22,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesondisneywonder-22feb2027.html,PASS — official voyage deep link: https://disneycruise.disney.go.com/cruises-destinations/list/DW2238/4-Night-Baja-Cruise-from-San-Diego/2027-02-22-Disney-Wonder/,"CHANGED — was $1,858pp, now $1,474pp (price_drop) (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $3,260"
SD-04,Disney Wonder — Baja,2027-02-26,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesondisneywonder-26feb2027.html,PASS — official voyage deep link: https://disneycruise.disney.go.com/cruises-destinations/list/DW2239/3-Night-Baja-Cruise-from-San-Diego/2027-02-26-Disney-Wonder/,"CHANGED — was $1,754pp, now $1,328pp (price_drop) (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $2,968"
SD-05,Disney Wonder — Baja,2027-03-01,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesondisneywonder-01mar2027.html,PASS — official voyage deep link: https://disneycruise.disney.go.com/cruises-destinations/list/DW2240/4-Night-Baja-Cruise-from-San-Diego/2027-03-01-Disney-Wonder/,"CONFIRMED — $1,911pp unchanged (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $4,134"
SD-06,Disney Wonder — Baja,2027-03-05,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesondisneywonder-05mar2027.html,PASS — official voyage deep link: https://disneycruise.disney.go.com/cruises-destinations/list/DW2241/3-Night-Baja-Cruise-from-San-Diego/2027-03-05-Disney-Wonder/,"CONFIRMED — $1,784pp unchanged (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $3,880"
SD-07,Disney Wonder — Mexican Riviera,2027-03-12,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesondisneywonder-12mar2027.html,PASS — official voyage deep link: https://disneycruise.disney.go.com/cruises-destinations/list/DW2243/7-Night-Mexican-Riviera-Cruise-from-San-Diego/2027-03-12-Disney-Wonder/,"CHANGED — was $1,645pp, now $3,430pp (price_increase) (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $7,172"
SD-08,Disney Wonder — Baja,2027-03-19,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesondisneywonder-19mar2027.html,PASS — official voyage deep link: https://disneycruise.disney.go.com/cruises-destinations/list/DW2244/3-Night-Baja-Cruise-from-San-Diego/2027-03-19-Disney-Wonder/,"CONFIRMED — $1,946pp unchanged (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $4,204"
SD-09,Disney Wonder — Baja,2027-03-22,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesondisneywonder-22mar2027.html,PASS — official voyage deep link: https://disneycruise.disney.go.com/cruises-destinations/list/DW2245/4-Night-Baja-Cruise-from-San-Diego/2027-03-22-Disney-Wonder/,"CONFIRMED — $2,824pp unchanged (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $5,960"
SD-10,Disney Wonder — Baja,2027-03-26,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesondisneywonder-26mar2027.html,PASS — official voyage deep link: https://disneycruise.disney.go.com/cruises-destinations/list/DW2246/3-Night-Baja-Cruise-from-San-Diego/2027-03-26-Disney-Wonder/,"CHANGED — was $1,754pp, now $2,341pp (price_increase) (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CORRECTED + VERIFIED · trip total for 2 $4,994"
SD-11,Disney Wonder — Baja,2027-03-29,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesondisneywonder-29mar2027.html,PASS — official voyage deep link: https://disneycruise.disney.go.com/cruises-destinations/list/DW2247/4-Night-Baja-Cruise-from-San-Diego/2027-03-29-Disney-Wonder/,"CHANGED — was $1,676pp, now $2,856pp (price_increase) (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $6,024"
