cruise_line,west_coast_result,status,official_review_link,notes
Carnival Cruise Line,Long Beach records included (Panorama; Radiance),RESULTS INCLUDED,https://www.carnival.com/cruise-search,"2026-08-28: verified Mar 2027 Long Beach sailings incl. Panorama 6N/8N and Radiance 5N/14N Hawaii. Carnival Firenze VERIFIED OUT OF SCOPE: its Feb 18 - Mar 22, 2027 departures are all roundtrip Miami (8N/10N Southern Caribbean, 10N Eastern, 13N Southern) per official itinerary links on carnival.com; no Long Beach departure in window."
Disney Cruise Line,San Diego records included,RESULTS INCLUDED,https://disneycruise.disney.go.com/cruises-destinations/list/,2026-08-28: added verified Disney Wonder Mar 8 4N Baja (per-sailing index + official DCL deep link DW2242).
Holland America Line,San Diego records included (Koningsdam; Zaandam),RESULTS INCLUDED,https://www.hollandamerica.com/en/us/find-a-cruise,2026-08-28: added verified Koningsdam Mar 27 (7N/11N/28N variants) and Zaandam Mar 28 7N. 11N/28N variants end in Vancouver BC — open-jaw flight estimate used and disclosed.
Norwegian Cruise Line,Los Angeles records included,RESULTS INCLUDED,https://www.ncl.com/cruises,Encore Sunday departures Feb 21 - Mar 28 confirmed against 2027 port turnaround index; no new in-window NCL turnarounds found on 2026-08-28 sweep.
Princess Cruises,San Pedro records included (Discovery; Emerald); San Francisco records included (Ruby),RESULTS INCLUDED,https://www.princess.com/cruise-search,"2026-08-28: added 6 Discovery Princess Saturdays + Emerald Feb 26 16N Hawaii + Emerald Mar 21 7N Classic California Coast. Emerald SF appearances (Mar 16, Mar 25-26, Mar 30) verified as mid-cruise PORT CALLS on LA roundtrips — not SF turnarounds."
Royal Caribbean,Los Angeles/San Pedro and San Diego records included,RESULTS INCLUDED,https://www.royalcaribbean.com/cruises,"2026-08-28: added 6 Voyager + 8 Ovation San Pedro sailings and Serenade of the Seas Feb 28 7N ex-San Diego; all matched to per-sailing index pages + royalcaribbean.com voyage deep links."
Celebrity Cruises,No qualifying record added,NOT REPRESENTED,https://www.celebritycruises.com/cruises,No in-window West Coast turnaround found in 2027 port schedules (2026-08-28 sweep).
MSC Cruises,No qualifying record added,NOT REPRESENTED,https://www.msccruises.com/our-cruises,MSC Poesia first Seattle turnaround indexed Apr 26, 2027 — outside window.
Regent Seven Seas Cruises,No qualifying record added,NOT REPRESENTED,https://www.rssc.com/cruises,Seven Seas Prestige departed LA Feb 10, 2027 (out of window); Splendor departed LA Feb 7, 2027 (out of window). No in-window West Coast departure.
Silversea Cruises,No qualifying record added,NOT REPRESENTED,https://www.silversea.com/destinations.html,Silver Dawn was a January 2027 port call only.
Seabourn,No qualifying record added,NOT REPRESENTED,https://www.seabourn.com/en_US/find-a-cruise.html,No in-window West Coast turnaround found.
Oceania Cruises,No qualifying record added,NOT REPRESENTED,https://www.oceaniacruises.com/find-a-cruise,Oceania Vista Jan 2027 port calls only.
Cunard,No qualifying record added,NOT REPRESENTED,https://www.cunard.com/en-us/find-a-cruise,Queen Victoria Feb 4-5, 2027 LA port call (world cruise segment); no in-window turnaround.
Azamara,No qualifying record added,NOT REPRESENTED,https://www.azamara.com/cruises,Azamara Quest Jan 2027 port calls only.
Costa Cruises,No qualifying record added,NOT REPRESENTED,https://www.costacruises.com/cruises.html,Costa Deliziosa Jan 2027 port calls only.
Windstar Cruises,No qualifying record added,NOT REPRESENTED,https://www.windstarcruises.com/find-a-cruise/,No in-window West Coast turnaround found.
Viking,No qualifying record added,NOT REPRESENTED,https://www.viking.com/oceans/cruises,Viking Sky Jan 2027 LA port call only.
Hapag-Lloyd Cruises,No qualifying record added,NOT REPRESENTED,https://www.hl-cruises.com/cruises,"Europa calls: San Diego Mar 14; San Francisco Mar 17-19; Seattle Mar 27-28, 2027 (arrive overnight, depart next day). Luxury German-market ship on a grand voyage; treated as segment calls, not bookable mainstream West Coast departures."
Virgin Voyages,No qualifying record added,NOT REPRESENTED,https://www.virginvoyages.com/,Brilliant Lady first San Francisco call indexed May 5, 2027 — outside window.
Seattle WA (port),No in-window US homeport sailings,PORT CHECKED,https://www.cruisetimetables.com/seattle-washington-cruise-ship-schedule-2027.html,"2027 Seattle season opens Apr 14 (Carnival Spirit); only earlier visitor is Hapag Europa Mar 27-28 segment call. No in-window mainstream departures."
Vancouver BC (port),Out of scope — not a U.S. port,OUT OF SCOPE,https://www.cruisetimetables.com/,"User scope is U.S. West Coast port cities. Vancouver appears only as the END port of two HAL sailing variants (flagged on those rows with open-jaw flight estimate)."
