pass,date,check,result,evidence,official_source
pass4,2026-08-28,SOURCE_AUTHORITY,CONFIRMED,cruisetimetables.com 2027 from-port + monthly pages carry a 2026-08-28 datestamp and publish a USD interior per-person figure plus a per-sailing official deep link (disneycruise/royalcaribbean/carnival/princess/ncl/hollandamerica).,https://www.cruisetimetables.com/
pass4,2026-08-28,SCOPE_SEATTLE,CONFIRMED_0_IN_WINDOW,Seattle 2027 index first departure is Carnival Spirit on Apr 14 2027; no mainstream departure between 2027-02-15 and 2027-03-31 (only Hapag-Lloyd Europa segment call 27-28 Mar).,https://www.cruisetimetables.com/cruises-from-seattle-washington-2027.html
pass4,2026-08-28,SCOPE_SAN_FRANCISCO,CONFIRMED_2_IN_WINDOW,SF 2027 index in window: Ruby Princess Feb 28 (Interior $1,704 pp) and Mar 16 ($1,264 pp). Ruby Feb 12 is before the window. Europa Mar 18 is a EUR-priced luxury (Hapag-Lloyd) segment, excluded from mainstream list.,https://www.cruisetimetables.com/cruises-from-san-francisco-california-2027.html
pass4,2026-08-28,SCOPE_OREGON,CONFIRMED_NONE,Astoria OR and Portland OR appear only as river-cruise (Queen of the West, Columbia River, ~$1,900 pp) and as port calls; no U.S. ocean-cruise homeport departure for Carnival/Princess/etc between 2027-02-15 and 2027-03-31.,https://cruisedig.com/ports/astoria-oregon/departures
pass4,2026-08-28,FLIGHT_BASIS_SFO_SAN,CONFIRMED,KAYAK route SFO-SAN: typical round-trip $134-$287, average ~$156 round-trip, lowest seen ~$77; matches dataset planning basis of $156/pp round-trip for the 2-adult estimate.,https://www.kayak.com/flight-routes/San-Francisco-SFO/San-Diego-SAN
pass4,2026-08-28,FLIGHT_BASIS_SFO_LAX,REVIEWED,SFO-LAX typical round-trip $138-$272 (Feb historically peaks); dataset uses $204/pp 12-mo average planning basis.,https://www.kayak.com/flight-routes/San-Francisco-SFO/Los-Angeles-LAX
pass4,2026-08-28,ROW_CROSSCHECK_SD-05,MATCH,Disney Wonder 4-Night Baja 3/1/2027 published Interior $1,911 pp; dataset price $3,822 = 2 x $1,911. (DW2240 deep link.),https://www.cruisetimetables.com/fromsandiegocalifornia-mar2027.html
pass4,2026-08-28,ROW_CROSSCHECK_SD-15,MATCH,Serenade of the Seas 4-Night Catalina & Ensenada 3/7/2027 published Interior $349 pp; dataset price $698 = 2 x $349.,https://www.cruisetimetables.com/fromsandiegocalifornia-mar2027.html
pass4,2026-08-28,ROW_CROSSCHECK_SD-22,MATCH,Koningsdam 7-Night Baja Peninsula 3/20/2027 published Inside $999 pp (official k717); dataset price $1,998 = 2 x $999.,https://www.cruisetimetables.com/fromsandiegocalifornia-mar2027.html
pass4,2026-08-28,ROW_CROSSCHECK_LA-51,MATCH,Island Princess 16-Night Panama Canal (LA->Fort Lauderdale) 3/2/2027 published Interior $1,879 pp (voyage 2705); dataset price $3,758 = 2 x $1,879. Open-jaw -> flight marked live-quote required.,https://www.cruisetimetables.com/fromlosangelescalifornia-mar2027.html
pass4,2026-08-28,ROW_CROSSCHECK_LA-59,MATCH,Voyager of the Seas 7-Night Ensenada/Cabo/Mazatlan 3/5/2027 published Interior $525 pp; dataset price $1,050 = 2 x $525.,https://www.cruisetimetables.com/fromlosangelescalifornia-mar2027.html
pass4,2026-08-28,ROW_CROSSCHECK_LA-65,MATCH,Ovation of the Seas 4-Night Catalina & Ensenada 3/8/2027 published Interior $366 pp; dataset price $732 = 2 x $366.,https://www.cruisetimetables.com/fromlosangelescalifornia-mar2027.html
pass4,2026-08-28,ROW_CROSSCHECK_LA-73,MATCH,Discovery Princess 7-Night Mexican Riviera 3/6/2027 published Interior $749 pp (X711); dataset price $1,498 = 2 x $749.,https://www.cruisetimetables.com/fromlosangelescalifornia-mar2027.html
