id,port,ship,date,duration_nights,lead_in_pp_usd,cruise_total_2,flight_route,flight_2,trip_total_2,official_deep_link,schedule_source,independent_crosscheck_or_note,result
MIA4-01,"Miami, FL",Carnival Conquest,2027-02-15,4,295,$590,SFO → MIA → SFO,$844 planning estimate,"$1,434",https://www.carnival.com/itinerary/4-day-the-bahamas-cruise/miami/conquest/4-days/bhp/?sailDate=02152027,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-02,"Miami, FL",Carnival Sunrise,2027-02-15,5,307,$614,SFO → MIA → SFO,$844 planning estimate,"$1,458",https://www.carnival.com/itinerary/5-day-the-bahamas-cruise/miami/sunrise/5-days/bhi/?sailDate=02152027,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-03,"Miami, FL",Freedom of the Seas,2027-02-15,5,558,"$1,116",SFO → MIA → SFO,$844 planning estimate,"$1,960",https://www.royalcaribbean.com/cruises/itinerary/5-night-western-caribbean-from-miami-on-freedom/FR05MIA-1172079608?sail-date=2027-02-15&currency=USD,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-04,"Miami, FL",MSC Seaside,2027-02-15,4,261,$522,SFO → MIA → SFO,$844 planning estimate,"$1,366",https://www.msccruisesusa.com/itinerary-details/4-nights-the-bahamas--ocean-cay?cruiseid=SE20270215MIAMIA,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-05,"Miami, FL",MSC Seaside,2027-02-15,7,515,"$1,030",SFO → MIA → SFO,$844 planning estimate,"$1,874",https://www.msccruisesusa.com/itinerary-details/7-nights-caribbean--bahamas?cruiseid=SE20270215MIAMI1,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-06,"Miami, FL",Brilliant Lady,2027-02-18,4,676,"$1,352",SFO → MIA → SFO,$844 planning estimate,"$2,196",https://www.virginvoyages.com/book/voyage-planner/pre-checkout?currencyCode=USD&packageCode=4NKW&voyageId=BR2702184NKW,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-07,"Miami, FL",Carnival Firenze,2027-02-18,8,639,"$1,278",SFO → MIA → SFO,$844 planning estimate,"$2,122",https://www.carnival.com/itinerary/8-day-southern-caribbean-cruise/miami/firenze/8-days/czm/?sailDate=02182027,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"carnival.com/itinerary/8-day-southern-caribbean-cruise/miami/firenze/8-days/czm?sailDate=02182027 resolves live and shows Start: Miami > Aruba > Curacao > Grand Turk > End: Miami. cruiseweb.com independently lists the 8-night Southern Caribbean ex-Miami on Carnival Firenze with a Feb 18 2027 sailing - MATCH. NOTE PRICE DRIFT: a later cruisetimetables render of the same day page showed Interior $616 vs the $639 captured at build time; both are feed snapshots, difference flagged rather than silently changed.",VERIFIED
MIA4-08,"Miami, FL",Brilliant Lady,2027-02-22,10,1390,"$2,780",SFO → MIA → SFO,$844 planning estimate,"$3,624",https://www.virginvoyages.com/book/voyage-planner/pre-checkout?currencyCode=USD&packageCode=10NMM&voyageId=BR27022210NMM,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-09,"Miami, FL",Carnival Conquest,2027-02-22,4,275,$550,SFO → MIA → SFO,$844 planning estimate,"$1,394",https://www.carnival.com/itinerary/4-day-the-bahamas-cruise/miami/conquest/4-days/bhp/?sailDate=02222027,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-10,"Miami, FL",MSC Seaside,2027-02-22,4,241,$482,SFO → MIA → SFO,$844 planning estimate,"$1,326",https://www.msccruisesusa.com/itinerary-details/4-nights-the-bahamas--ocean-cay?cruiseid=SE20270222MIAMIA,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-11,"Miami, FL",MSC Seaside,2027-02-22,7,495,$990,SFO → MIA → SFO,$844 planning estimate,"$1,834",https://www.msccruisesusa.com/itinerary-details/7-nights-caribbean--bahamas?cruiseid=SE20270222MIAMI1,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-12,"Miami, FL",Norwegian Joy,2027-02-22,4,439,$878,SFO → MIA → SFO,$844 planning estimate,"$1,722",https://www.ncl.com/vacation-builder?itineraryCode=JOY4MIANPINASMIA-NIC-JOY4MIANASNPIMIA&packageId=23379749&stateroomTypeCode=INSIDE&,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-13,"Miami, FL",Carnival Sunrise,2027-02-25,4,294,$588,SFO → MIA → SFO,$844 planning estimate,"$1,432",https://www.carnival.com/itinerary/4-day-the-bahamas-cruise/miami/sunrise/4-days/bhp/?sailDate=02252027,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-14,"Miami, FL",Freedom of the Seas,2027-02-25,9,1037,"$2,074",SFO → MIA → SFO,$844 planning estimate,"$2,918",https://www.royalcaribbean.com/cruises/itinerary/9-night-southern-caribbean-from-miami-on-freedom/FR09MIA-2800916411?sail-date=2027-02-25&currency=USD,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-15,"Miami, FL",Independence of the Seas,2027-02-25,5,477,$954,SFO → MIA → SFO,$844 planning estimate,"$1,798",https://www.royalcaribbean.com/cruises/itinerary/5-night-western-caribbean-perfect-day-from-miami-on-independence/ID05MIA-1771094742?sail-date=2027-02-25&currency=USD,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-16,"Miami, FL",MSC Poesia,2027-02-25,10,1128,"$2,256",SFO → MIA → SFO,$844 planning estimate,"$3,100",https://www.msccruisesusa.com/itinerary-details/10-nights-southern-caribbean?cruiseid=PO20270225MIAMIA,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-17,"Miami, FL",Norwegian Sun,2027-03-01,12,2049,"$4,098",SFO → MIA → SFO,$844 planning estimate,"$4,942",https://www.ncl.com/vacation-builder?itineraryCode=SUN12MIANPICBRORJWILCTGPCGCLNLIOMIA-NIC-SUN12MIACBRCLNCTGLIONPIORJPCGWILMIA&packageId=23377868&stateroomTypeCode=INSIDE&,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-18,"Miami, FL",Scarlet Lady,2027-03-01,5,845,"$1,690",SFO → MIA → SFO,$844 planning estimate,"$2,534",https://www.virginvoyages.com/book/voyage-planner/pre-checkout?currencyCode=USD&packageCode=5NPP&voyageId=SC2703015NPP,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-19,"Miami, FL",Wonder of the Seas,2027-03-01,4,613,"$1,226",SFO → MIA → SFO,$844 planning estimate,"$2,070",https://www.royalcaribbean.com/cruises/itinerary/4-night-perfect-day-cococay-bahamas-from-miami-on-wonder/WN04MIA-1040267344?sail-date=2027-03-01&currency=USD,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-20,"Miami, FL",Brilliant Lady,2027-03-08,10,1391,"$2,782",SFO → MIA → SFO,$844 planning estimate,"$3,626",https://www.virginvoyages.com/book/voyage-planner/pre-checkout?currencyCode=USD&packageCode=10NDP&voyageId=BR27030810NDP,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-21,"Miami, FL",Carnival Conquest,2027-03-08,4,325,$650,SFO → MIA → SFO,$844 planning estimate,"$1,494",https://www.carnival.com/itinerary/4-day-the-bahamas-cruise/miami/conquest/4-days/bhs/?sailDate=03082027,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA4-22,"Miami, FL",Carnival Firenze,2027-03-08,10,754,"$1,508",SFO → MIA → SFO,$844 planning estimate,"$2,352",https://www.carnival.com/itinerary/10-day-southern-caribbean-cruise/miami/firenze/10-days/js0/?sailDate=03082027,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; dedup-checked against master by (port, ship, date, nights)",VERIFIED
