id,port,ship,date,duration_nights,lead_in_pp_usd,cruise_total_2,flight_route,flight_2,trip_total_2,official_deep_link,schedule_source,independent_crosscheck_or_note,result
JAX3-01,"Jacksonville, FL",Carnival Elation,2027-02-15,5,406,$812,SFO → JAX → SFO,$956 planning estimate,"$1,768",https://www.carnival.com/itinerary/5-day-the-bahamas-cruise/jacksonville/elation/5-days/bmv/?sailDate=02152027,https://www.cruisetimetables.com/cruises-from-jacksonville-florida-2027.html,"Primary source read line by line: cruisetimetables day/month from-port page (official fare feed) + official cruise-line deep link on the same page; dedup-checked against master by (port, ship, date)",VERIFIED
JAX3-02,"Jacksonville, FL",Norwegian Dawn,2027-02-16,5,629,"$1,258",SFO → JAX → SFO,$956 planning estimate,"$2,214",https://www.ncl.com/vacation-builder?itineraryCode=DAWN5JAXFPONASNPIJAX&packageId=25382941&stateroomTypeCode=INSIDE&,https://www.cruisetimetables.com/cruises-from-jacksonville-florida-2027.html,"Primary source read line by line: cruisetimetables day/month from-port page (official fare feed) + official cruise-line deep link on the same page; dedup-checked against master by (port, ship, date)",VERIFIED
JAX3-03,"Jacksonville, FL",Carnival Elation,2027-02-20,5,339,$678,SFO → JAX → SFO,$956 planning estimate,"$1,634",https://www.carnival.com/itinerary/5-day-the-bahamas-cruise/jacksonville/elation/5-days/bmu/?sailDate=02202027,https://www.cruisetimetables.com/cruises-from-jacksonville-florida-2027.html,"Primary source read line by line: cruisetimetables day/month from-port page (official fare feed) + official cruise-line deep link on the same page; dedup-checked against master by (port, ship, date)",VERIFIED
JAX3-04,"Jacksonville, FL",Norwegian Dawn,2027-02-21,5,609,"$1,218",SFO → JAX → SFO,$956 planning estimate,"$2,174",https://www.ncl.com/vacation-builder?itineraryCode=DAWN5JAXFPONPINASJAX-NIC-DAWN5JAXFPONASNPIJAX&packageId=25382942&stateroomTypeCode=INSIDE&,https://www.cruisetimetables.com/cruises-from-jacksonville-florida-2027.html,"Primary source read line by line: cruisetimetables day/month from-port page (official fare feed) + official cruise-line deep link on the same page; dedup-checked against master by (port, ship, date)",VERIFIED
JAX3-05,"Jacksonville, FL",Carnival Elation,2027-02-25,4,395,$790,SFO → JAX → SFO,$956 planning estimate,"$1,746",https://www.carnival.com/itinerary/4-day-the-bahamas-cruise/jacksonville/elation/4-days/bme/?sailDate=02252027,https://www.cruisetimetables.com/cruises-from-jacksonville-florida-2027.html,"Primary source read line by line: cruisetimetables day/month from-port page (official fare feed) + official cruise-line deep link on the same page; dedup-checked against master by (port, ship, date)",VERIFIED
JAX3-06,"Jacksonville, FL",Norwegian Dawn,2027-02-26,4,559,"$1,118",SFO → JAX → SFO,$956 planning estimate,"$2,074",https://www.ncl.com/vacation-builder?itineraryCode=DAWN4JAXFPONPIJAX&packageId=25382928&stateroomTypeCode=INSIDE&,https://www.cruisetimetables.com/cruises-from-jacksonville-florida-2027.html,"Primary source read line by line: cruisetimetables day/month from-port page (official fare feed) + official cruise-line deep link on the same page; dedup-checked against master by (port, ship, date)",VERIFIED
JAX3-07,"Jacksonville, FL",Carnival Elation,2027-03-01,5,466,$932,SFO → JAX → SFO,$956 planning estimate,"$1,888",https://www.carnival.com/itinerary/5-day-the-bahamas-cruise/jacksonville/elation/5-days/bmv/?sailDate=03012027,https://www.cruisetimetables.com/cruises-from-jacksonville-florida-2027.html,"Primary source read line by line: cruisetimetables day/month from-port page (official fare feed) + official cruise-line deep link on the same page; dedup-checked against master by (port, ship, date)",VERIFIED
JAX3-08,"Jacksonville, FL",Norwegian Dawn,2027-03-02,5,659,"$1,318",SFO → JAX → SFO,$956 planning estimate,"$2,274",https://www.ncl.com/vacation-builder?itineraryCode=DAWN5JAXEYWNPIJAX&packageId=25382922&stateroomTypeCode=INSIDE&,https://www.cruisetimetables.com/cruises-from-jacksonville-florida-2027.html,"Primary source read line by line: cruisetimetables day/month from-port page (official fare feed) + official cruise-line deep link on the same page; dedup-checked against master by (port, ship, date)",VERIFIED
JAX3-09,"Jacksonville, FL",Carnival Elation,2027-03-06,5,526,"$1,052",SFO → JAX → SFO,$956 planning estimate,"$2,008",https://www.carnival.com/itinerary/5-day-the-bahamas-cruise/jacksonville/elation/5-days/bmx/?sailDate=03062027,https://www.cruisetimetables.com/cruises-from-jacksonville-florida-2027.html,"Primary source read line by line: cruisetimetables day/month from-port page (official fare feed) + official cruise-line deep link on the same page; dedup-checked against master by (port, ship, date)",VERIFIED
JAX3-10,"Jacksonville, FL",Norwegian Dawn,2027-03-07,5,659,"$1,318",SFO → JAX → SFO,$956 planning estimate,"$2,274",https://www.ncl.com/vacation-builder?itineraryCode=DAWN5JAXNPIFPOJAX-NIC-DAWN5JAXFPONPIJAX&packageId=25382943&stateroomTypeCode=INSIDE&,https://www.cruisetimetables.com/cruises-from-jacksonville-florida-2027.html,"Primary source read line by line: cruisetimetables day/month from-port page (official fare feed) + official cruise-line deep link on the same page; dedup-checked against master by (port, ship, date)",VERIFIED
